Date,Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Ground,Fatalities (air),Aboard,Survivors,Continent
1987-04-04,1987,Qtr 2,April,4,Indonesia,McDonnell Douglas,McDonnell Douglas DC-9,0,27,45,18,Asia
1993-04-19,1993,Qtr 2,April,19,United States,Mitsubishi,Mitsubishi MU 2B,0,8,8,0,North America
2005-04-20,2005,Qtr 2,April,20,Iran,Boeing,Boeing 707,0,3,169,166,Asia
1992-04-26,1992,Qtr 2,April,26,Iran,Fokker,Fokker F 27 Friendship 400M5,0,39,39,0,Asia
1967-04-17,1967,Qtr 2,April,17,Iran,Lockheed,Lockheed C 130B5,0,23,23,0,Asia
1980-04-24,1980,Qtr 2,April,24,Iran,Lockheed,Lockheed EC 130E Hercules62,0,5,7,2,Asia
1957-04-20,1957,Qtr 2,April,20,Iraq,Lockheed,Lockheed Super ConstellationF BGNE,0,1,0,-1,Asia
2005-04-21,2005,Qtr 2,April,21,Iraq,Mil,Mil Mi-8,0,11,11,0,Asia
1948-04-15,1948,Qtr 2,April,15,Ireland,Lockheed,Lockheed L 049,0,30,31,1,Europe
1945-04-23,1945,Qtr 2,April,23,Denmark,Boeing,B17G Flying Fortress43 38856,0,31,31,0,Europe
1954-04-08,1954,Qtr 2,April,8,Italy,De Havilland,de Havilland DH106 Comet 1G ALYY,0,21,21,0,Europe
1970-04-25,1970,Qtr 2,April,25,Italy,Fairchild,Fairchild C 119GMM52,0,17,19,2,Europe
1972-04-16,1972,Qtr 2,April,16,Italy,Fokker,Fokker F-27 Friendship,0,18,18,0,Europe
1938-04-30,1938,Qtr 2,April,30,Italy,Junkers,Junkers JU 52I,0,19,19,0,Europe
1936-04-15,1936,Qtr 2,April,15,Italy,Unknown,OFM F VIIb/3mI,0,7,7,0,Europe
1953-04-10,1953,Qtr 2,April,10,Jamaica,Lockheed,Lockheed 18 56 LodeStarVP,0,13,13,0,North America
1950-04-21,1950,Qtr 2,April,21,Japan,McDonnell Douglas,Douglas C 54D42,0,35,35,0,Asia
1983-04-19,1983,Qtr 2,April,19,Japan,Kawasaki,Kawasaki C 1 / Kawasaki C,0,14,14,0,Asia
1952-04-09,1952,Qtr 2,April,9,Japan,Lockheed,Martin 202N93043,0,37,37,0,Asia
1983-04-26,1983,Qtr 2,April,26,Japan,Shin Meiwa,Shin Meiwa PS 15801,0,11,14,3,Asia
1957-04-17,1957,Qtr 2,April,17,Jordan,Vickers,Vickers Valetta C Mk.1VW832,0,24,24,0,Asia
1987-04-13,1987,Qtr 2,April,13,United States,Boeing,Boeing 707 351CN144SP,0,4,4,0,North America
1992-04-14,1992,Qtr 2,April,14,Kenya,De Havilland,de Havilland DHC 5 Buffalo218,6,46,46,0,Africa
2006-04-10,2006,Qtr 2,April,10,Kenya,Harbin,Harbin Y-12,0,14,17,3,Africa
1954-04-13,1954,Qtr 2,April,13,Belgium,Lockheed,Lockheed 18 LodestarF OALK,0,16,23,7,Europe
1972-04-24,1972,Qtr 2,April,24,Cuba,Pilatus,Pilatus PC6CH2N391R,0,4,10,6,North America
1992-04-07,1992,Qtr 2,April,7,Libya,Antonov,Antonov AN 24RVJ5,0,3,13,10,Africa
1968-04-08,1968,Qtr 2,April,8,United Kingdom,Boeing,Boeing 707,0,5,127,122,Europe
1953-04-10,1953,Qtr 2,April,10,Madagascar,Junkers,Junkers JU 5/,0,4,15,11,Africa
1946-04-05,1946,Qtr 2,April,5,Malta,Vickers,Vickers Wellington bomberHE 274,16,4,4,0,Europe
2010-04-13,2010,Qtr 2,April,13,Mexico,Airbus,Airbus A300B4 203FXA,2,5,5,0,North America
2014-04-19,2014,Qtr 2,April,19,Mexico,British Aerospace,British Aerospace BAe 125 700A HawkerXA,0,8,8,0,North America
1957-04-15,1957,Qtr 2,April,15,Mexico,Consolidated,Consolidated B 24JXA,1,3,3,0,North America
1959-04-17,1959,Qtr 2,April,17,Mexico,Curtiss,Curtiss C-46,0,26,26,0,North America
1968-04-10,1968,Qtr 2,April,10,Mexico,McDonnell Douglas,Douglas DC-3,0,18,18,0,North America
1958-04-06,1958,Qtr 2,April,6,United States,Vickers,Vickers Viscount 745DN7437,0,47,47,0,North America
2008-04-11,2008,Qtr 2,April,11,Moldova,Antonov,Antonov An 32ST,0,8,8,0,Europe
1993-04-23,1993,Qtr 2,April,23,Mongolia,Antonov,Antonov AN 26BBHMAY,0,32,40,8,Asia
1970-04-01,1970,Qtr 2,April,1,Morocco,Aerospatiale,Aerospatiale Caravelle 3CN CCV,0,61,82,21,Africa
1939-04-03,1939,Qtr 2,April,3,Morocco,Caudron,Caudron C.635 SimounF AOOT,0,9,9,0,Africa
1976-04-23,1976,Qtr 2,April,23,Morocco,Bell,Bell 205 A 1 helicopterN8167J,0,12,12,0,Africa
1962-04-19,1962,Qtr 2,April,19,Cambodia,McDonnell Douglas,Douglas DC-3,0,15,16,1,Asia
1924-04-24,1924,Qtr 2,April,24,Malawi,Fokker,Fokker F.IIIH NABS,0,3,3,0,Africa
1948-04-24,1948,Qtr 2,April,24,Chad,Lisunov,Lisnov Li 2CCCP,0,28,29,1,Africa
1943-04-04,1943,Qtr 2,April,4,Croatia,Lockheed,Lockheed C 56B LodestarG,0,7,7,0,Europe
1945-04-27,1945,Qtr 2,April,27,Comoros,Lockheed,Lockheed 18 LodestarNC33328,0,6,13,7,Africa
1948-04-18,1948,Qtr 2,April,18,Eritrea,Lockheed,Lockheed Hudson IIIAVH ALA,0,37,37,0,Africa
1982-04-30,1982,Qtr 2,April,30,Kuwait,Sikorsky,Sikorsky S 76C,0,13,13,0,Asia
1994-04-14,1994,Qtr 2,April,14,Nigeria,Sikorsky,Sikorsky UH 60 / Sikorsky UH,0,26,26,0,Africa
1918-04-07,1918,Qtr 2,April,7,Brazil,Zeppelin,Zeppelin L 59 (airship)?,0,23,23,0,South America
1951-04-06,1951,Qtr 2,April,6,Bolivia,McDonnell Douglas,Douglas DC 3N63439,0,22,22,0,South America
1994-04-04,1994,Qtr 2,April,4,Netherlands,Saab,Saab 340BPH KSH,0,3,24,21,Europe
1994-04-03,1994,Qtr 2,April,3,United States,Bell,Bell 206B3N27736,0,5,5,0,North America
1971-04-22,1971,Qtr 2,April,22,Morocco,Beechcraft,Beechcraft C35N144H,0,4,4,0,Africa
1972-04-17,1972,Qtr 2,April,17,Unknown,Bell,Bell 47J 2N8467E,0,3,3,0,Unknown
1985-04-16,1985,Qtr 2,April,16,Peru,Boeing,Boeing 727,0,0,89,89,South America
1952-04-05,1952,Qtr 2,April,5,Somalia,Curtiss,Curtiss C-46,3,2,2,0,Africa
1920-04-11,1920,Qtr 2,April,11,Argentina,Curtiss,Curtiss JN 4H44,0,1,2,1,South America
1920-04-10,1920,Qtr 2,April,10,Gabon,Curtiss,Curtiss R 4LM49,0,1,2,1,Africa
1955-04-04,1955,Qtr 2,April,4,Albania,McDonnell Douglas,Douglas DC 6N37512,0,3,3,0,Europe
1930-04-18,1930,Qtr 2,April,18,Taiwan,Fairchild,Fairchild 71NC9148,0,4,4,0,Asia
1933-04-04,1933,Qtr 2,April,4,Bhutan,Goodyear,Goodyear  Zeppelin U.S.S. Akron (airship)ZRS,0,73,76,3,Asia
1986-04-02,1986,Qtr 2,April,2,Egypt,Lockheed,Lockheed HC 130P Hercules66,0,11,11,0,Africa
1943-04-22,1943,Qtr 2,April,22,Sweden,Short,Short S 23VH,0,13,31,18,Europe
1979-04-18,1979,Qtr 2,April,18,Gabon,Sikorsky,Sikorsky S61 LN618PA,0,3,18,15,Africa
1936-04-01,1936,Qtr 2,April,1,Latvia,Stinson,Stinson Model ANC15152,0,2,2,0,Europe
1960-04-18,1960,Qtr 2,April,18,Canada,McDonnell Douglas,Douglas C-124 Globemaster II,0,9,9,0,North America
1960-04-05,1960,Qtr 2,April,5,Nicaragua,Curtiss,Curtiss C-46,0,2,18,16,North America
1946-04-22,1946,Qtr 2,April,22,Nicaragua,Lockheed,Lockheed 14 Super ElectraAN ACC,0,20,21,1,North America
1997-04-16,1997,Qtr 2,April,16,Niger,Lockheed,Lockheed C 130H Hercules5U,0,14,14,0,Africa
1995-04-23,1995,Qtr 2,April,23,Nigeria,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,1,9,8,Africa
1948-04-10,1948,Qtr 2,April,10,Nigeria,McDonnell Douglas,Douglas DC-4,0,1,6,5,Africa
1960-04-20,1960,Qtr 2,April,20,South Africa,Fairchild,Fairchild F 27 / Cessna 310N2704R/N1807H,0,4,44,40,Africa
